id,feature_name,feature_group,computation_logic,data_source,update_frequency,serving_store,models_using_feature,feature_description
0,purchase_count_7d_web,customer_behavior,COUNT(order_id) WHERE order_status='DELIVERED' OVER last 7 days BY customer_id,fct_orders (Silver),Hourly,"DynamoDB, S3","recommendation_model, churn_model","Short-term weekly purchase count metric. Useful for RFM segmentation, customer lifetime value modeling, and personalized promotion campaigns. Captured from the web channel, representing customer interactions on the Amazon website."
1,purchase_count_14d_web,customer_behavior,COUNT(order_id) WHERE order_status='DELIVERED' OVER last 14 days BY customer_id,fct_orders (Silver),Hourly,"DynamoDB, S3","recommendation_model, churn_model","Bi-weekly purchase count measurement. Useful for RFM segmentation, customer lifetime value modeling, and personalized promotion campaigns. Captured from the web channel, representing customer interactions on the Amazon website."
2,purchase_count_30d_web,customer_behavior,COUNT(order_id) WHERE order_status='DELIVERED' OVER last 30 days BY customer_id,fct_orders (Silver),Hourly,"DynamoDB, S3","recommendation_model, churn_model","Monthly purchase count indicator. Useful for RFM segmentation, customer lifetime value modeling, and personalized promotion campaigns. Captured from the web channel, representing customer interactions on the Amazon website."
3,avg_order_value_7d_web,customer_spend,AVG(order_total) WHERE order_status='DELIVERED' OVER last 7 days BY customer_id,fct_orders (Silver),Daily,"DynamoDB, S3","ltv_model, recommendation_model","Short-term weekly avg order value metric. Useful for predictive modeling, customer analytics, and operational decision-making. Captured from the web channel, representing customer interactions on the Amazon website."
4,avg_order_value_14d_web,customer_spend,AVG(order_total) WHERE order_status='DELIVERED' OVER last 14 days BY customer_id,fct_orders (Silver),Daily,"DynamoDB, S3","ltv_model, recommendation_model","Bi-weekly avg order value measurement. Useful for predictive modeling, customer analytics, and operational decision-making. Captured from the web channel, representing customer interactions on the Amazon website."
5,avg_order_value_30d_web,customer_spend,AVG(order_total) WHERE order_status='DELIVERED' OVER last 30 days BY customer_id,fct_orders (Silver),Daily,"DynamoDB, S3","ltv_model, recommendation_model","Monthly avg order value indicator. Useful for predictive modeling, customer analytics, and operational decision-making. Captured from the web channel, representing customer interactions on the Amazon website."
6,product_views_7d_web,product_engagement,COUNT(view_id) OVER last 7 days BY product_id,fct_product_views,Hourly,"DynamoDB, S3","ranking_model, recommendation_model","Short-term weekly product views metric. Useful for predictive modeling, customer analytics, and operational decision-making. Captured from the web channel, representing customer interactions on the Amazon website."
7,product_views_14d_web,product_engagement,COUNT(view_id) OVER last 14 days BY product_id,fct_product_views,Hourly,"DynamoDB, S3","ranking_model, recommendation_model","Bi-weekly product views measurement. Useful for predictive modeling, customer analytics, and operational decision-making. Captured from the web channel, representing customer interactions on the Amazon website."
8,product_views_30d_web,product_engagement,COUNT(view_id) OVER last 30 days BY product_id,fct_product_views,Hourly,"DynamoDB, S3","ranking_model, recommendation_model","Monthly product views indicator. Useful for predictive modeling, customer analytics, and operational decision-making. Captured from the web channel, representing customer interactions on the Amazon website."
9,avg_rating_7d_web,product_quality,AVG(rating) WHERE verified='Y' OVER last 7 days BY product_id,fct_reviews,Daily,DynamoDB,"ranking_model, recommendation_model","Short-term weekly avg rating metric. Useful for product ranking, quality monitoring, and catalog optimization. Captured from the web channel, representing customer interactions on the Amazon website."
10,avg_rating_14d_web,product_quality,AVG(rating) WHERE verified='Y' OVER last 14 days BY product_id,fct_reviews,Daily,DynamoDB,"ranking_model, recommendation_model","Bi-weekly avg rating measurement. Useful for product ranking, quality monitoring, and catalog optimization. Captured from the web channel, representing customer interactions on the Amazon website."
11,avg_rating_30d_web,product_quality,AVG(rating) WHERE verified='Y' OVER last 30 days BY product_id,fct_reviews,Daily,DynamoDB,"ranking_model, recommendation_model","Monthly avg rating indicator. Useful for product ranking, quality monitoring, and catalog optimization. Captured from the web channel, representing customer interactions on the Amazon website."
12,search_count_7d_web,search_behavior,COUNT(search_id) OVER last 7 days BY customer_id,fct_search_events,Hourly,Redis,"recommendation_model, search_model","Short-term weekly search count metric. Useful for search relevance tuning, intent modeling, and recommendation systems. Captured from the web channel, representing customer interactions on the Amazon website."
13,search_count_14d_web,search_behavior,COUNT(search_id) OVER last 14 days BY customer_id,fct_search_events,Hourly,Redis,"recommendation_model, search_model","Bi-weekly search count measurement. Useful for search relevance tuning, intent modeling, and recommendation systems. Captured from the web channel, representing customer interactions on the Amazon website."
14,search_count_30d_web,search_behavior,COUNT(search_id) OVER last 30 days BY customer_id,fct_search_events,Hourly,Redis,"recommendation_model, search_model","Monthly search count indicator. Useful for search relevance tuning, intent modeling, and recommendation systems. Captured from the web channel, representing customer interactions on the Amazon website."
15,return_rate_7d_web,returns,COUNT(return_id)/COUNT(order_id) OVER last 7 days BY product_id,fct_returns,Daily,S3,"fraud_model, ranking_model","Short-term weekly return rate metric. Useful for product quality monitoring, fraud detection, and return risk analysis. Captured from the web channel, representing customer interactions on the Amazon website."
16,return_rate_14d_web,returns,COUNT(return_id)/COUNT(order_id) OVER last 14 days BY product_id,fct_returns,Daily,S3,"fraud_model, ranking_model","Bi-weekly return rate measurement. Useful for product quality monitoring, fraud detection, and return risk analysis. Captured from the web channel, representing customer interactions on the Amazon website."
